id,Top_rated,name_movie,Year,Genres,Director,Writers,producers,Top_actors
1,1,The Shawshank Redemption ,1994,Drama,Frank Dabaront,"Frank Darabont, Stephen King",Niki Marvin,"Tim Robbins, Morgan Freeman, Bob Gunton, James Whitmore, Gil Bellows, William Sadler, Mark Rolston, Clancy Brown, David Proval, Jeffrey DeMunn, Jude Ciccolella, Don McManus, Alfonso Freeman"
2,2,The Godfather,1972,"Crime, Drama",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",Albert S. Ruddy,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Richard S. Castellano, Sterling Hayden, Gianni Russo, Rudy Bond, John Marley, Richard Conte"
3,3,The Dark Knight,2008,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Emma Thomas, Charles Roven, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Gary Oldman, Morgan Freeman, Maggie Gyllenhaal, Eric Roberts, Cillian Murphy, Chin Han, Michael Jai White, William Fichtner, Monique Gabriela Curnen"
4,4,The Godfather: Part II,1974,"Crime, Drama",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Francis Ford Coppola, Fred Roos","Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale, Lee Strasberg, Talia Shire, Gastone Moschin, Michael V. Gazzo, Marianna Hill, Bruno Kirby, Danny Aiello, Harry Dean Stanton"
5,5,12 Angry Men,1957,"Crime, Drama",Sidney Lumet,Reginald Rose,"Henry Fonda, Reginald Rose","Henry Fonda, Lee J. Cobb, Jack Warden, E.G. Marshall, Martin Balsam, Ed Begley, John Fiedler, Robert Webber, Jack Klugman, George Voskovec, Joseph Sweeney, Edward Binns, Billy Nelson, John Savoca, Rudy Bond, James Kelly"
6,6,Schindler's List,1993,"Biography, Drama, History",Steven Spielberg,Steven Zaillian,"Steven Spielberg, Gerald R. Molen, Branko Lustig","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Norbert Weisser, Martin S. Bergmann, Mark Ivanir, Malgorzata Gebel, Shmuel Levy, Michael Schneider, Joachim Paul Assböck, Branko Lustig, Götz Otto"
7,7,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson ","Barrie M. Osborne, Peter Jackson, Fran Walsh","Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Andy Serkis, John Rhys-Davies, Orlando Bloom, John Noble, Miranda Otto, David Wenham, Bernard Hill, Billy Boyd, Dominic Monaghan"
8,8,Pulp Fiction,1994,"Crime, Drama",Quentin Tarantino,"Quentin Tarantino, Roger Avary",Lawrence Bender,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Tim Roth, Amanda Plummer, María de Medeiros, Eric Stoltz, Rosanna Arquette, Christopher Walken, Paul Calderon"
9,9,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson ","Barrie M. Osborne, Peter Jackson, Fran Walsh, Tim Sanders","Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Sean Bean, John Rhys-Davies, Orlando Bloom, Dominic Monaghan, Billy Boyd, Cate Blanchett, Hugo Weaving, Liv Tyler, Ian Holm"
10,10,"The Good, the Bad and the Ugly",1966,"Adventure, Western",Sergio Leone,"Age & Scarpelli, Luciano Vincenzoni, Sergio Leone",Alberto Grimaldi,"Clint Eastwood, Lee Van Cleef, Eli Wallach, Aldo Giuffrè, Rada Rassimov, Mario Brega, Luigi Pistilli, Aldo Sambrell, Enzo Petito, Claudio Scarchilli, Al Mulock, John Bartha, Livio Lorenzon, Antonio Molino Rojo, Sandro Scarchilli, Chelo Alonso"
